"PRODUCT","name_mapping","name"
"Diancie","diancie","Diancie"
"Donphan","donphan","Donphan"
"Drapion V","drapion","Drapion"
"Drapion V (Full Art)","drapion","Drapion"
"Drednaw","drednaw","Drednaw"
"Drilbur","drilbur","Drilbur"
"Drone Rotom","drone rotom",NA
"Duraludon","duraludon","Duraludon"
"Dusclops","dusclops","Dusclops"
"Dusknoir","dusknoir","Dusknoir"
"Duskull","duskull","Duskull"
"Eelektrik","eelektrik","Eelektrik"
"Eelektross","eelektross","Eelektross"
"Eevee","eevee","Eevee"
"Electrike","electrike","Electrike"
"Electrode","electrode","Electrode"
"Excadrill","excadrill","Excadrill"
"Exeggcute","exeggcute","Exeggcute"
"Exeggutor","exeggutor","Exeggutor"
"Exploud","exploud","Exploud"
"Ferroseed","ferroseed","Ferroseed"
"Ferrothorn","ferrothorn","Ferrothorn"
"Flareon","flareon","Flareon"
"Forretress","forretress","Forretress"
"Galarian Darmanitan V","darmanitan","Darmanitan"
"Galarian Darmanitan V (Full Art)","darmanitan","Darmanitan"
"Galarian Darmanitan VMAX","darmanitan","Darmanitan"
"Galarian Darmanitan VMAX (Secret)","darmanitan","Darmanitan"
"Galarian Meowth","meowth","Meowth"
"Galarian Obstagoon (Secret)","obstagoon","Obstagoon"
"Galarian Perrserker","perrserker","Perrserker"
"Galarian Sirfetch'd V (Full Art)","sirfetch'd","Sirfetch'd"
"Galarian Stunfisk","stunfisk","Stunfisk"
"Galvantula","galvantula","Galvantula"
"Garbodor","garbodor","Garbodor"
"Genesect","genesect","Genesect"
"Girafarig","girafarig","Girafarig"
"Gogoat","gogoat","Gogoat"
"Grapploct","grapploct","Grapploct"
"Hero's Medal","hero's medal",NA
"Hero's Medal (Secret)","hero's medal",NA
"Hitmontop","hitmontop","Hitmontop"
"Jirachi","jirachi","Jirachi"
"Jolteon","jolteon","Jolteon"
"Joltik","joltik","Joltik"
"Kakuna","kakuna","Kakuna"
"Krokorok","krokorok","Krokorok"
"Krookodile","krookodile","Krookodile"
"League Staff","league staff",NA
"Leon","leon",NA
"Leon (Full Art)","leon",NA
"Leon (Secret)","leon",NA
"Loudred","loudred","Loudred"
"Lucario","lucario","Lucario"
"Lugia","lugia","Lugia"
"Lycanroc","lycanroc","Lycanroc"
"Magcargo","magcargo","Magcargo"
"Magearna","magearna","Magearna"
"Manectric","manectric","Manectric"
"Memory Capsule","memory capsule",NA
"Memory Capsule (Secret)","memory capsule",NA
"Metagross","metagross","Metagross"
"Metang","metang","Metang"
"Mightyena","mightyena","Mightyena"
"Milcery","milcery","Milcery"
"Moomoo Cheese","moomoo cheese",NA
"Mudbray","mudbray","Mudbray"
"Mudsdale","mudsdale","Mudsdale"
"Nessa","nessa",NA
"Nessa (Full Art)","nessa",NA
"Nessa (Secret)","nessa",NA
"Nincada","nincada","Nincada"
"Ninjask","ninjask","Ninjask"
"Nuzleaf","nuzleaf","Nuzleaf"
"Opal","opal",NA
"Opal (Full Art)","opal",NA
"Opal (Secret)","opal",NA
"Oranguru (Secret)","oranguru","Oranguru"
"Orbeetle V","orbeetle","Orbeetle"
"Orbeetle V (Full Art)","orbeetle","Orbeetle"
"Orbeetle VMAX","orbeetle","Orbeetle"
"Orbeetle VMAX (Secret)","orbeetle","Orbeetle"
"Oshawott","oshawott","Oshawott"
"Phanpy","phanpy","Phanpy"
"Pikachu V","pikachu","Pikachu"
"Pikachu V (Full Art)","pikachu","Pikachu"
"Pikachu VMAX","pikachu","Pikachu"
"Pikachu VMAX (Secret)","pikachu","Pikachu"
"Pikipek","pikipek","Pikipek"
"Pincurchin","pincurchin","Pincurchin"
"Pineco","pineco","Pineco"
"Pokemon Center Lady (Full Art)","pokemon center lady",NA
"Poochyena","poochyena","Poochyena"
"Quagsire","quagsire","Quagsire"
"Raikou","raikou","Raikou"
"Rayquaza","rayquaza","Rayquaza"
"Regirock","regirock","Regirock"
"Riolu","riolu","Riolu"
"Rockruff","rockruff","Rockruff"
"Rocky Helmet","rocky helmet",NA
"Sableye","sableye","Sableye"
"Samurott","samurott","Samurott"
"Sandile","sandile","Sandile"
"Seedot","seedot","Seedot"
"Shaymin","shaymin",NA
"Shedinja","shedinja","Shedinja"
"Shiftry","shiftry","Shiftry"
"Shuckle","shuckle","Shuckle"
"Shuppet","shuppet","Shuppet"
"Skiddo","skiddo","Skiddo"
"Slugma","slugma","Slugma"
"Snorlax","snorlax","Snorlax"
"Steelix V","steelix","Steelix"
"Steelix V (Full Art)","steelix","Steelix"
"Stone Fighting Energy","stone fighting energy",NA
"Swellow","swellow","Swellow"
"Swoobat","swoobat","Swoobat"
"Taillow","taillow","Taillow"
"Talonflame V","talonflame","Talonflame"
"Talonflame V (Full Art)","talonflame","Talonflame"
"Telescopic Sight","telescopic sight",NA
"Telescopic Sight (Secret)","telescopic sight",NA
"Terrakion","terrakion","Terrakion"
"Togekiss V","togekiss","Togekiss"
"Togekiss V (Full Art)","togekiss","Togekiss"
"Togekiss VMAX","togekiss","Togekiss"
"Togekiss VMAX (Secret)","togekiss","Togekiss"
"Tornadus","tornadus","Tornadus"
"Toucannon","toucannon","Toucannon"
"Trubbish","trubbish","Trubbish"
"Trumbeak","trumbeak","Trumbeak"
"Tynamo","tynamo","Tynamo"
"Vaporeon","vaporeon","Vaporeon"
"Voltorb","voltorb","Voltorb"
"Wailmer","wailmer","Wailmer"
"Wailord","wailord","Wailord"
"Wash Water Energy","wash water energy",NA
"Weedle","weedle","Weedle"
"Whimsicott","whimsicott","Whimsicott"
"Whismur","whismur","Whismur"
"Woobat","woobat","Woobat"
"Wooper","wooper","Wooper"
"Wyndon Stadium","wyndon stadium",NA
"Xerneas","xerneas","Xerneas"
"Yanma","yanma","Yanma"
"Yanmega","yanmega","Yanmega"
"Zacian","zacian","Zacian"
"Zamazenta","zamazenta","Zamazenta"
"Zapdos","zapdos","Zapdos"
"Zarude V","zarude","Zarude"
